title,author,subjects,date,description,link,original_link,photo_filename,type,category
Helping at Home,Jordan Gonzales,syringa,2016,Dr. Leontina Hormel and students working with Syringa Mobile Home Park were featured in an article published by the University. Written by Jordan Gonzales.,https://www.uidaho.edu/research/students/undergraduate-research/vandals-in-focus/2017/leontina-lt-hormel,,ltstudents.jpg,,news
Syringa Mobile Home Tenants Deal with the Consequences,Jenee Ryan,syringa,2015-03-05,Article on the red tags that had begun to become common in the park. Resdients had mixed-feelings about the tags and what should be done. Written by Jenee Ryan.,https://klewtv.com/news/local/syringa-mobile-home-park-tenants-deal-with-consequences,,redtag.jpg,,news
An exit strategy for troubled Moscow mobile home park,Bill McKee,eviction,2015-03-05,"Article chronicling red tags that were introduced to Syringa, including sentiments among residents. Written by Bill McKee",http://dnews.com/local/an-exit-strategy-for-troubled-moscow-mobile-home-park/article_61b453c5-10cd-572d-9e09-0a63a875bdea.html,,redtagnews.jpg,,news
Hope for Syringa Flows,George Wood Jr.,water issues,2014-03-10,Syringa's water issues were featured on an article by the University of Idaho Argonaut in 2014.The article discusses a proposal to restore potable water to Syringa in the midst of one of the many water issue events that occured. Written by George Wood Jr.,https://www.uiargonaut.com/2014/03/10/hope-for-syringa-flow-park-owner-signs-proposal-to-restore-potable-water/,,syringalagoon.jpg,,news
Syringa residents file claim against park owner,Bill McKee,water issues,2014-03-01,"Article detailing the lawsuit that was filed against park owner, Magar E Magar, by Syringa residents with the aid of the UI Legal Clinic. Written by Bill McKee. ",http://dnews.com/local/syringa-residents-file-claim-against-park-owner/article_b21743ec-e69a-5158-b472-dbe3e561c44f.html,,stigma.jpg,,news
Her View: Syringa was the Canary in the Coal Mine,Leontina Hormel,eviction,2019-01-03,Moscow-Pullman Daily News Op-Ed. Written by Leontina Hormel.,http://dnews.com/opinion/her-view-syringa-was-the-canary-in-the-coal-mine/article_a55070f1-6256-5cb9-9fc0-861bb909668a.html,,backyardmountainviewoct142018.jpg,,news
The Price (Music Video) ,Silent Theory,park culture,2021-05-02,Silent Theory,https://www.youtube.com/watch?v=Ie5lLk1IXK4,,v=Ie5lLk1IXK4,,news 
No Landlord: Mobile Home Community Finds Stability in Self-Government ,Sarah Matusek,community alternatives,2022-01-22,The Christian Science Monitor ,https://www.csmonitor.com/USA/Society/2022/0110/No-landlord-Mobile-home-community-finds-stability-in-self-government?fbclid=IwAR1qxEAQk4IzL8AoFF6YVS7A9H06n9T-F0AMACs-ztxekS-7iaw2VGjltCo,,animasviewdurango.jpg,,news
Mobile home park stepping out of Syringa’s shadow,Anthony Kuipers,mobile home parks,2022-04-04,Moscow-Pullman Daily News,https://dnews.com/local/mobile-home-park-stepping-out-of-syringa-s-shadow/article_6e36aa3e-3f57-50a2-a14f-19db9349fa65.html,,AppaloosaZachWilkinson.jpg,,news
‘Nowhere to go:’ Eviction of 11 Latino families sheds light on Ketchum housing crunch,Rachel Spacek,mobile home parks,2022-05-03,Idaho Statesman,https://www.idahostatesman.com/news/northwest/idaho/article261009887.html,,KetchumSarahMiller.jpg,,news
